sid,scene,brief_scene,section,tc_in,tc_out,t_in,allotted_speech_s,pause_s,hold_s,words,characters,stability_band,similarity_boost,handle_ms,narration_kannada,sent_to_tts_after_year_rewrite,year_rewrites,numerals_left_for_human_check,zwnj,generates_variant,direction
K02,opening,opening,ಎ · ಆರಂಭ,00:00:07:00,00:00:14:11,7,7.44,0,0,13,106,natural,0.78,500,"ಪ್ರತಿ ವರ್ಷ, ಕರ್ನಾಟಕದ ಹಳ್ಳಿಗಳಲ್ಲಿ, ಮಕ್ಕಳು ತಮ್ಮ ಬಳಿ ಇರುವುದೆಲ್ಲವನ್ನೂ ಒಂದೇ ಚೀಲದಲ್ಲಿ ಹೊತ್ತು ಶಾಲೆಗೆ ನಡೆಯುತ್ತಾರೆ.",(unchanged),,,0,yes,"Intimate, visual, quiet, reflective. The voice is looking at these children, not introducing them. K03 is the film's one moment of undirected joy: let the laugh sit still and do not smile over it."
K03,opening,opening,ಎ · ಆರಂಭ,00:00:14:11,00:00:18:06,14.440000000000001,2.8,1,0,6,35,natural,0.78,500,ಅವರಿಗೆ ಬುದ್ಧಿ ಇದೆ. ಕಲಿಯುವ ಹಂಬಲ ಇದೆ.,(unchanged),,,0,yes,"Intimate, visual, quiet, reflective. The voice is looking at these children, not introducing them. K03 is the film's one moment of undirected joy: let the laugh sit still and do not smile over it."
K04,opening,opening,ಎ · ಆರಂಭ,00:00:18:06,00:00:25:21,18.240000000000002,5.6,2,0,11,76,natural,0.78,500,"ಆದರೆ ಆ ನಡಿಗೆಗೂ ತರಗತಿಗೂ ನಡುವೆ, ಶಾಲಾ ಶುಲ್ಕ ಒಂದು ತೀರ್ಮಾನ ತೆಗೆದುಕೊಂಡು ಬಿಡುತ್ತದೆ.",(unchanged),,,0,yes,"Intimate, visual, quiet, reflective. The voice is looking at these children, not introducing them. K03 is the film's one moment of undirected joy: let the laugh sit still and do not smile over it."
K05,opening,opening,ಎ · ಆರಂಭ,00:00:25:21,00:00:30:10,25.840000000000003,4.08,0,0.5,8,59,natural,0.78,500,"ಹತ್ತು ವರ್ಷಗಳಿಂದ, ಒಂದು ಟ್ರಸ್ಟ್ ಸರಿಯಾಗಿ ಅಲ್ಲಿಯೇ ಬಂದು ನಿಂತಿದೆ.",(unchanged),,,0,yes,"Intimate, visual, quiet, reflective. The voice is looking at these children, not introducing them. K03 is the film's one moment of undirected joy: let the laugh sit still and do not smile over it."
K07,origin,origin,ಬಿ · ಆರಂಭದ ದಿನಗಳು,00:00:36:10,00:00:42:14,36.42,6.16,0,0,10,93,natural,0.78,500,"ಲಾ ಪಾರ್ಕ್ ಎಜುಕೇಷನಲ್ ಟ್ರಸ್ಟ್, ಬೆಂಗಳೂರಿನ ಎಚ್.ಎಸ್.ಆರ್. ಲೇಔಟ್‌ನಲ್ಲಿರುವ ನೋಂದಾಯಿತ ಶೈಕ್ಷಣಿಕ ಟ್ರಸ್ಟ್.",(unchanged),,,1,yes,"Humble, respectful, historically grounded. K12 is three sentences and three full stops: ಚಿಕ್ಕಬಳ್ಳಾಪುರ. ಒಂದು ಮಗು. ಒಂದು ವಿದ್ಯಾರ್ಥಿವೇತನ. Read as a rising list, the voice is rejected regardless of total score."
K08,origin,origin,ಬಿ · ಆರಂಭದ ದಿನಗಳು,00:00:42:14,00:00:52:00,42.58,9.44,0,0,16,121,natural,0.78,500,ಇದನ್ನು ಸ್ಥಾಪಿಸಿದವರು ಚಾರುಲತಾ ಎಂ. ಆರ್. ಟ್ರಸ್ಟ್ ಶುರುವಾಗುವ ಮೊದಲೇ ಅವರು ತಮ್ಮ ಬಡಾವಣೆಯ ಮಕ್ಕಳ ಶಾಲಾ ಶುಲ್ಕವನ್ನು ತಾವೇ ಕಟ್ಟುತ್ತಿದ್ದರು.,(unchanged),,,0,yes,"Humble, respectful, historically grounded. K12 is three sentences and three full stops: ಚಿಕ್ಕಬಳ್ಳಾಪುರ. ಒಂದು ಮಗು. ಒಂದು ವಿದ್ಯಾರ್ಥಿವೇತನ. Read as a rising list, the voice is rejected regardless of total score."
K09,origin,origin,ಬಿ · ಆರಂಭದ ದಿನಗಳು,00:00:52:00,00:00:59:21,52.019999999999996,7.84,0,0,15,104,natural,0.78,500,ಅವರ ಜೊತೆಗೂಡಿದವರು ಸಾದೇನಹಳ್ಳಿಯ ಎಸ್. ಎಂ. ಮಂಜುನಾಥ. ಓದಲೆಂದು ಊರು ಬಿಟ್ಟು ನಗರಕ್ಕೆ ಬಂದ ತಮ್ಮ ಕುಟುಂಬದ ಮೊದಲ ವ್ಯಕ್ತಿ.,(unchanged),,,0,yes,"Humble, respectful, historically grounded. K12 is three sentences and three full stops: ಚಿಕ್ಕಬಳ್ಳಾಪುರ. ಒಂದು ಮಗು. ಒಂದು ವಿದ್ಯಾರ್ಥಿವೇತನ. Read as a rising list, the voice is rejected regardless of total score."
K10,origin,origin,ಬಿ · ಆರಂಭದ ದಿನಗಳು,00:00:59:21,00:01:05:07,59.86,3.44,2,0,7,46,natural,0.78,500,ತಮ್ಮ ಊರಿನ ಹಲವು ಮಕ್ಕಳನ್ನು ಅವರು ಆಗಲೇ ಓದಿಸಿದ್ದರು.,(unchanged),,,0,yes,"Humble, respectful, historically grounded. K12 is three sentences and three full stops: ಚಿಕ್ಕಬಳ್ಳಾಪುರ. ಒಂದು ಮಗು. ಒಂದು ವಿದ್ಯಾರ್ಥಿವೇತನ. Read as a rising list, the voice is rejected regardless of total score."
K11,origin,origin,ಬಿ · ಆರಂಭದ ದಿನಗಳು,00:01:05:07,00:01:09:01,65.3,3.76,0,0,6,38,natural,0.78,500,2016ರಲ್ಲಿ ಅವರು ಮೊದಲ ಶಾಲಾ ಭೇಟಿ ಮಾಡಿದರು.,ಎರಡು ಸಾವಿರದ ಹದಿನಾರರಲ್ಲಿ ಅವರು ಮೊದಲ ಶಾಲಾ ಭೇಟಿ ಮಾಡಿದರು.,2016ರಲ್ಲಿ->ಎರಡು ಸಾವಿರದ ಹದಿನಾರರಲ್ಲಿ,,0,yes,"Humble, respectful, historically grounded. K12 is three sentences and three full stops: ಚಿಕ್ಕಬಳ್ಳಾಪುರ. ಒಂದು ಮಗು. ಒಂದು ವಿದ್ಯಾರ್ಥಿವೇತನ. Read as a rising list, the voice is rejected regardless of total score."
K12,origin,origin,ಬಿ · ಆರಂಭದ ದಿನಗಳು,00:01:09:01,00:01:14:06,69.06,4.16,0,1,5,45,natural,0.78,500,ಚಿಕ್ಕಬಳ್ಳಾಪುರ. ಒಂದು ಮಗು. ಒಂದು ವಿದ್ಯಾರ್ಥಿವೇತನ.,(unchanged),,,0,yes,"Humble, respectful, historically grounded. K12 is three sentences and three full stops: ಚಿಕ್ಕಬಳ್ಳಾಪುರ. ಒಂದು ಮಗು. ಒಂದು ವಿದ್ಯಾರ್ಥಿವೇತನ. Read as a rising list, the voice is rejected regardless of total score."
