timecode,seconds,shot,act,photograph,heading_en,heading_kn,vo_en,vo_kn,sfx_kind,sfx_cue,sfx_level_db_rel_narration,sfx_fade,consent,notes
00:00:00:00,0.00,S01,1 · The walk to school,2025-colorful-school-building-mantihadi__K04-enhanced.png,LAW PARK EDUCATIONAL TRUST / Ten Years · 2016 to 2026,ಲಾ ಪಾರ್ಕ್ ಎಜುಕೇಷನಲ್ ಟ್ರಸ್ಟ್ / ಹತ್ತು ವರ್ಷ · 2016 ರಿಂದ 2026,"Every year, in villages across Karnataka, children walk to a school like this one.","ಪ್ರತಿ ವರ್ಷ, ಕರ್ನಾಟಕದ ಹಳ್ಳಿಗಳಲ್ಲಿ, ಮಕ್ಕಳು ಇಂಥದೇ ಒಂದು ಶಾಲೆಗೆ ನಡೆದು ಬರುತ್ತಾರೆ.",bed,kai_audio-bedroom-room-tone-446021.mp3,-20,in 2.00s / out 3.00s,CLEAR after a crop above the adult at lower left,"Hold the frame still for the first 3s so the title can be read, then a 3 percent push toward the name board. Verify the Mantihadi board lettering on the enhanced render before picture lock."
00:00:00:00,0.00,S01,1 · The walk to school,,,,,,bed,dbsound-countryside-morning-sounds-246032.mp3,-15,in 2.50s / out 2.00s,,"ACT 1. A Karnataka village morning, before the narration names the Trust."
00:00:01:10,1.40,S01,1 · The walk to school,,,,,,accent,universfield-school-bell-199584.mp3,-16,in 0.05s / out 1.20s,,"A distant bell over the school building, under no narration. The only bell in the film."
00:00:09:00,9.00,S02,1 · The walk to school,2025-schoolwide-supplies-group-photo__K02-K43-enhanced.png,"Everything they own, / in one bag",ಇರುವುದೆಲ್ಲವೂ / ಒಂದೇ ಚೀಲದಲ್ಲಿ,"They carry everything they own in one bag. They are bright, and they are ready to learn.","ತಮ್ಮ ಬಳಿ ಇರುವುದೆಲ್ಲವನ್ನೂ ಒಂದೇ ಚೀಲದಲ್ಲಿ ಹೊತ್ತು ಬರುತ್ತಾರೆ. ಅವರಿಗೆ ಬುದ್ಧಿ ಇದೆ, ಕಲಿಯುವ ಹಂಬಲ ಇದೆ.",,,,,BLOCKING · approximately 60 identifiable children and adults,"Heading sits lower left, clear of the faces. 3 percent push in."
00:00:19:00,19.00,S03,1 · The walk to school,2025-child-with-school-kit-close-up__K03-enhanced.png,A school fee decides.,ಶಾಲಾ ಶುಲ್ಕ ತೀರ್ಮಾನಿಸುತ್ತದೆ.,"And somewhere between that walk and the classroom, a school fee decides.","ಆ ನಡಿಗೆಗೂ ತರಗತಿಗೂ ನಡುವೆ, ಶಾಲಾ ಶುಲ್ಕ ಒಂದು ತೀರ್ಮಾನ ತೆಗೆದುಕೊಂಡು ಬಿಡುತ್ತದೆ.",accent,freesound_community-1-note-piano-104171.mp3,-16,in 0.02s / out 0.90s,"BLOCKING · two children in close-up, fully identifiable. Highest priority release in the film","No push. The laugh sits still. The heading fades up only on the word 'decides' and the last 2.5s are dry: room tone, one piano note, nothing else."
00:00:25:15,25.60,S03,1 · The walk to school,,,,,,silence,"carved room tone, 1.4 s",silent,in 0.00s / out 0.00s,,"After the piano note, at the end of 'a school fee decides'. The film's premise lands dry: bed carved, no effect, no voice."
00:00:27:00,27.00,S04,1 · The walk to school,2025-schoolchildren-showing-bags-on-veranda__K40-enhanced.png,"“When it comes to education, no child / deserves to be left behind.” / Charulatha M. R., Founder","“ಶಿಕ್ಷಣದ ವಿಷಯದಲ್ಲಿ ಯಾವ ಮಗುವೂ / ಹಿಂದೆ ಉಳಿಯಬಾರದು.” / ಚಾರುಲತಾ ಎಂ. ಆರ್., ಸಂಸ್ಥಾಪಕಿ","For ten years, one Trust has stood at exactly that point, one child at a time.","ಹತ್ತು ವರ್ಷಗಳಿಂದ, ಒಂದು ಟ್ರಸ್ಟ್ ಸರಿಯಾಗಿ ಅಲ್ಲಿಯೇ ಬಂದು ನಿಂತಿದೆ. ಒಂದೊಂದೇ ಮಗುವಿಗೆ.",accent,black_kumizhi-dreamy-cinematic-riser-523158.mp3,-13,in 0.60s / out 0.40s,BLOCKING · approximately 20 identifiable children,The quote is the act seal. It holds for the last 3s over the photograph with the narration already out.
00:00:28:15,28.60,S04,1 · The walk to school,,,,,,accent,universfield-cinematic-low-hit-291095.mp3,-14,in 0.02s / out 0.70s,,"Soft low impact as the quote settles. It lands, it does not boom. Impact 1 of 2 in the film."
00:00:36:00,36.00,S05,2 · How it started,founders-charulatha-mr-founder-portrait__K08-enhanced.png,Charulatha M. R. / Founder,ಚಾರುಲತಾ ಎಂ. ಆರ್. / ಸಂಸ್ಥಾಪಕಿ,The Trust was founded by Charulatha M. R. She had been paying school fees for neighbourhood children long before there was a Trust.,ಟ್ರಸ್ಟ್ ಸ್ಥಾಪಿಸಿದವರು ಚಾರುಲತಾ ಎಂ. ಆರ್. ಟ್ರಸ್ಟ್ ಶುರುವಾಗುವ ಮೊದಲೇ ಅವರು ತಮ್ಮ ಬಡಾವಣೆಯ ಮಕ್ಕಳ ಶಾಲಾ ಶುಲ್ಕವನ್ನು ತಾವೇ ಕಟ್ಟುತ್ತಿದ್ದರು.,bed,dbsound-countryside-morning-sounds-246032.mp3,-16,in 2.00s / out 2.50s,"CLEAR · trustee, consent on file","Portrait. No effect on this shot and the next: two faces, two names, let them be quiet."
00:00:47:00,47.00,S06,2 · How it started,founders-trustee-sm-manjunatha-portrait__K09-enhanced.png,S. M. Manjunatha / Trustee · Sadenahalli,ಎಸ್. ಎಂ. ಮಂಜುನಾಥ / ಟ್ರಸ್ಟಿ · ಸಾದೇನಹಳ್ಳಿ,"She was joined by S. M. Manjunatha of Sadenahalli, the first in his family to leave the village to study.",ಅವರ ಜೊತೆಗೂಡಿದವರು ಸಾದೇನಹಳ್ಳಿಯ ಎಸ್. ಎಂ. ಮಂಜುನಾಥ. ಓದಲೆಂದು ಊರು ಬಿಟ್ಟು ನಗರಕ್ಕೆ ಬಂದ ತಮ್ಮ ಕುಟುಂಬದ ಮೊದಲ ವ್ಯಕ್ತಿ.,,,,,"CLEAR · trustee, consent on file",Source is WebP only. Request a JPEG original before the 4K master.
00:00:57:00,57.00,S07,2 · How it started,2016-chikkaballapur-first-school-visit-founder-teaching__K11-enhanced.png,2016 · Chickaballapur / First school visit. First scholarship.,2016 · ಚಿಕ್ಕಬಳ್ಳಾಪುರ / ಮೊದಲ ಶಾಲಾ ಭೇಟಿ. ಮೊದಲ ವಿದ್ಯಾರ್ಥಿವೇತನ.,In 2016 they made their first school visit. Chickaballapur. One child. One scholarship.,2016ರಲ್ಲಿ ಅವರು ಮೊದಲ ಶಾಲಾ ಭೇಟಿ ಮಾಡಿದರು. ಚಿಕ್ಕಬಳ್ಳಾಪುರ. ಒಂದು ಮಗು. ಒಂದು ವಿದ್ಯಾರ್ಥಿವೇತನ.,accent,creatorshome-turn-a-page-336933.mp3,-13,in 0.00s / out 0.00s,BLOCKING · approximately 30 identifiable children and 4 adults,"The origin beat. One page turn on the cut, then the last 4s are silent under 'One child. One scholarship.'"
00:01:06:02,66.10,S07,2 · How it started,,,,,,silence,"carved room tone, 1.9 s",silent,in 0.00s / out 0.00s,,"'One child. One scholarship.' has finished. The line is left to stand on its own, as it does in the approved Kannada cut."
00:01:08:00,68.00,S08,2 · How it started,2016-steel-plates-and-glasses-distribution-150-students__K13-enhanced.png,150 students / steel plates and steel glasses,150 ವಿದ್ಯಾರ್ಥಿಗಳು / ಸ್ಟೀಲ್ ತಟ್ಟೆ ಮತ್ತು ಲೋಟ,"On the same visit, a hundred and fifty students received steel plates and steel glasses.",ಅದೇ ಭೇಟಿಯಲ್ಲಿ ನೂರೈವತ್ತು ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ಸ್ಟೀಲ್ ತಟ್ಟೆ ಮತ್ತು ಲೋಟ ವಿತರಿಸಲಾಯಿತು.,,,,,BLOCKING · approximately 15 identifiable children,"Push along the line of plates, not into the faces. The 150 numeral carries the heading; set it in the display face."
00:01:17:00,77.00,S09,2 · How it started,2017-scholarship-group-photo-school-veranda-10-students__K14-enhanced.png,2017 · One became ten,2017 · ಒಂದು ಹತ್ತಾಯಿತು,"In 2017, one became ten. Ten students received scholarships, and the work simply continued.",2017ರಲ್ಲಿ ಒಂದು ಹತ್ತಾಯಿತು. ಹತ್ತು ಮಕ್ಕಳಿಗೆ ವಿದ್ಯಾರ್ಥಿವೇತನ. ಕೆಲಸ ಹಾಗೇ ಮುಂದುವರಿಯಿತು.,accent,lesiakower-gentle-amp-echoing-whoosh-sound-effect-451056.mp3,-18,in 0.20s / out 0.80s,BLOCKING · 14 identifiable people including 2 children,"Act 2 into act 3. The whoosh sits on the last 2s, under no narration."
00:01:27:00,87.00,S10,3 · A decade of showing up,2018-classroom-presentation-session__K15a-enhanced.png,2018 · The same roads,2018 · ಅದೇ ದಾರಿಗಳು,"Year after year, the same roads, the same schools, and more children.","ವರ್ಷದಿಂದ ವರ್ಷಕ್ಕೆ. ಅದೇ ದಾರಿಗಳು, ಅದೇ ಶಾಲೆಗಳು, ಇನ್ನಷ್ಟು ಮಕ್ಕಳು.",bed,freesound_community-open_field_winds_summer_ambience-64761.mp3,-15,in 2.50s / out 2.50s,"BLOCKING · 4 identifiable adults, children in foreground from behind",Act 3 opens. The open field wind bed comes in here and runs to S16.
00:01:35:00,95.00,S11,3 · A decade of showing up,2019-community-group-photo-outdoors__K15b-enhanced.png,2019 · The ordinary years,2019 · ಸಾಮಾನ್ಯ ವರ್ಷಗಳು,Nobody photographs the ordinary years. These are the years the work is made of.,ಸಾಮಾನ್ಯ ವರ್ಷಗಳನ್ನು ಯಾರೂ ಫೋಟೋ ತೆಗೆಯುವುದಿಲ್ಲ. ಆದರೆ ಕೆಲಸ ಕಟ್ಟಿರುವುದು ಆ ವರ್ಷಗಳಿಂದಲೇ.,,,,,BLOCKING · approximately 15 identifiable people,No effect. The bed carries it.
00:01:44:00,104.00,S12,3 · A decade of showing up,2021-scholarship-distribution-crowd__K16-enhanced.png,2020 to 2021 · Pandemic relief / The help did not stop,2020 ರಿಂದ 2021 · ಸಾಂಕ್ರಾಮಿಕ ನೆರವು / ನೆರವು ನಿಲ್ಲಲಿಲ್ಲ,"In 2020 schools closed and families lost work. The Trust published a single page, and the help did not stop.","2020ರಲ್ಲಿ ಶಾಲೆಗಳು ಮುಚ್ಚಿದವು, ದುಡಿಮೆ ನಿಂತಿತು. ಟ್ರಸ್ಟ್ ಒಂದೇ ಪುಟದ ಪ್ರಕಟಣೆ ಹೊರಡಿಸಿತು. ನೆರವು ನಿಲ್ಲಲಿಲ್ಲ.",accent,spinopel-paper-rustle-345748.mp3,-14,in 0.30s / out 1.00s,"BLOCKING · a crowd, many identifiable faces","The 2020 relief poster is text-critical and deliberately not in the enhanced pack, so this 2021 crowd carries the 2020 to 2021 beat. The heading says both years so picture and text do not disagree. If the Trust wants the poster itself, use the un-enhanced K17 from the pack root."
00:01:55:00,115.00,S13,3 · A decade of showing up,2022-rural-school-library-bookshelves__K18-enhanced.png,2022 · Libraries in rural schools,2022 · ಗ್ರಾಮೀಣ ಶಾಲೆಗಳಲ್ಲಿ ಗ್ರಂಥಾಲಯಗಳು,"In 2022 the shelves went up. Libraries in rural schools, filled with donated story books and academic books.","2022ರಲ್ಲಿ ಕಪಾಟುಗಳು ಎದ್ದವು. ಗ್ರಾಮೀಣ ಶಾಲೆಗಳಲ್ಲಿ ಗ್ರಂಥಾಲಯಗಳು, ದಾನದ ಪುಸ್ತಕಗಳಿಂದ ತುಂಬಿದವು.",accent,creatorshome-turn-a-page-336933.mp3,-15,in 0.00s / out 0.00s,CLEAR · no identifiable person,NO FACES. The one shot in act 3 that can take a slow push across the full width without a consent question.
00:02:05:00,125.00,S14,3 · A decade of showing up,2022-students-in-school-library__K19-enhanced.png,Books the children can reach,ಮಕ್ಕಳ ಕೈಗೆಟುಕುವ ಪುಸ್ತಕಗಳು,"And unused notebooks, because a book nobody opens is not a library.",ಬಳಸದೇ ಉಳಿದ ನೋಟ್‌ಬುಕ್‌ಗಳು ಕೂಡ. ಯಾರೂ ತೆರೆಯದ ಪುಸ್ತಕ ಗ್ರಂಥಾಲಯ ಆಗುವುದಿಲ್ಲ.,,,,,"REVIEW · 6 identifiable adults, no children","Heading goes bottom left, on the empty shelf, not over the people."
00:02:14:00,134.00,S15,3 · A decade of showing up,2023-career-guidance-chart-volunteers__K21-enhanced.png,2023 · Career guidance / 9th and 10th standard,2023 · ವೃತ್ತಿ ಮಾರ್ಗದರ್ಶನ / 9 ಮತ್ತು 10ನೇ ತರಗತಿ,"In 2023, career guidance for ninth and tenth standard students, at the age when a decision quietly gets made.",2023ರಲ್ಲಿ ಒಂಬತ್ತು ಮತ್ತು ಹತ್ತನೇ ತರಗತಿಗೆ ವೃತ್ತಿ ಮಾರ್ಗದರ್ಶನ. ಬದುಕಿನ ದಾರಿ ಸದ್ದಿಲ್ಲದೆ ನಿರ್ಧಾರವಾಗುವ ವಯಸ್ಸು ಅದು.,,,,,"REVIEW · 5 identifiable adults, no children",The chart carries a third-party project mark. Crop it out or clear it before picture lock: 14 item 2.2.
