timecode,seconds,shot,act,visual_scene,narration_line,music_cue,music_intensity_1_5,music_level_db_rel_narration,music_fade,sfx_cue,sfx_source,sfx_level_db_rel_narration,sfx_fade,notes
00:00:00:00,0.00,K01,1 · ಆರಂಭ · the child and the question,PHOTO A228 · 2025 government primary school sign,"(no narration, 7.0s hold)","Low near-static drone. Solo bansuri enters on one breath, no phrase yet",1,-30 rising to -24,in 4.0s from silence,,,,,
00:00:00:00,0.00,K01,1 · ಆರಂಭ · the child and the question,PHOTO A228 · 2025 government primary school sign,(no narration),,,,,"Neutral room tone, the floor under the whole film",https://pixabay.com/sound-effects/household-bedroom-room-tone-446021/,-20,in 2.00s / out 3.00s,"[placed] kai_audio Bedroom Room Tone, tiled across all 357.88s. Speech-band energy measures 0.00, so it carries no voice at all. Carved automatically at K06, K12, K27 and K34 with a 0.40s fade either side, so the written silences stay a true -120 dBFS"
00:00:00:00,0.00,K01,1 · ಆರಂಭ · the child and the question,PHOTO A228 · 2025 government primary school sign,(no narration),,,,,Village morning under act 1,https://pixabay.com/sound-effects/nature-countryside-morning-sounds-246032/,-15,in 2.50s / out 2.00s,"[placed] dbsound Countryside morning sounds. Puts the audience in a Karnataka village before the narration names the trust, which is what the single 2.2s spot at K10 used to attempt in isolation"
00:00:01:05,1.20,K01,1 · ಆರಂಭ · the child and the question,PHOTO A228 · 2025 government primary school sign,(no narration),,,,,"Distant school bell, once in the film",https://pixabay.com/sound-effects/school-bell-199584/,-16,in 0.05s / out 1.20s,"[placed] Under picture with no narration. The only bell in the film, and one of four effects that play at a stated solo level because there is no voice to duck beneath: -20 dBFS"
00:00:07:00,7.00,K02,1 · ಆರಂಭ · the child and the question,PHOTO A240 · 2025 schoolwide supplies group photo,"ಪ್ರತಿ ವರ್ಷ, ಕರ್ನಾಟಕದ ಹಳ್ಳಿಗಳಲ್ಲಿ, ಮಕ್ಕಳು ತಮ್ಮ ಬಳಿ ಇರುವುದೆಲ್ಲವನ್ನೂ ಒಂದೇ ಚೀಲದಲ್ಲಿ ಹೊತ್ತು ಶಾಲೆಗೆ ನಡೆಯುತ್ತಾರೆ.","Bansuri states the four-note motif for the first time, unaccompanied",2,-26,-,,,,,
00:00:15:16,15.64,K03,1 · ಆರಂಭ · the child and the question,PHOTO A206 · 2025 child with school kit close up,ಅವರಿಗೆ ಬುದ್ಧಿ ಇದೆ. ಕಲಿಯುವ ಹಂಬಲ ಇದೆ.,Motif stops mid-phrase. Drone alone under ಬುದ್ಧಿ ಇದೆ / ಹಂಬಲ ಇದೆ,1,-28,-,,,,,1.0s pause written into this shot
00:00:19:21,19.84,K04,1 · ಆರಂಭ · the child and the question,PHOTO A226 · 2025 colorful school building,"ಆದರೆ ಆ ನಡಿಗೆಗೂ ತರಗತಿಗೂ ನಡುವೆ, ಶಾಲಾ ಶುಲ್ಕ ಒಂದು ತೀರ್ಮಾನ ತೆಗೆದುಕೊಂಡು ಬಿಡುತ್ತದೆ.","Melody out. Drone alone under the school-fee line, then the 2s pause",1,-26,-,,,,,2.0s pause written into this shot
00:00:25:19,25.74,K04,1 · ಆರಂಭ · the child and the question,PHOTO A226 · 2025 colorful school building,"ಆದರೆ ಆ ನಡಿಗೆಗೂ ತರಗತಿಗೂ ನಡುವೆ, ಶಾಲಾ ಶುಲ್ಕ ಒಂದು ತೀರ್ಮಾನ ತೆಗೆದುಕೊಂಡು ಬಿಡುತ್ತದೆ.",,,,,One piano note on the school-fee line,https://pixabay.com/sound-effects/1-note-piano-104171/,-16,in 0.02s / out 0.90s,"[placed] Under the dignity rule, into the 2s pause. `11` wanted this beat to belong to the score; there is no score, so it goes here. Solo -24 dBFS"
00:00:28:00,28.00,K05,1 · ಆರಂಭ · the child and the question,CARD GFX-01 · ಲಾ ಪಾರ್ಕ್ ಎಜುಕೇಷನಲ್ ಟ್ರಸ್ಟ್ // ಹತ್ತು ವರ್ಷ · 2016 ರಿಂದ 2026,"ಹತ್ತು ವರ್ಷಗಳಿಂದ, ಒಂದು ಟ್ರಸ್ಟ್ ಸರಿಯಾಗಿ ಅಲ್ಲಿಯೇ ಬಂದು ನಿಂತಿದೆ.","Drone lifts a fifth under the title, resolves to a single held bansuri note",2,-24,out 0.8s,,,,,
00:00:28:02,28.10,K05,1 · ಆರಂಭ · the child and the question,CARD GFX-01 · ಲಾ ಪಾರ್ಕ್ ಎಜುಕೇಷನಲ್ ಟ್ರಸ್ಟ್ // ಹತ್ತು ವರ್ಷ · 2016 ರಿಂದ 2026,"ಹತ್ತು ವರ್ಷಗಳಿಂದ, ಒಂದು ಟ್ರಸ್ಟ್ ಸರಿಯಾಗಿ ಅಲ್ಲಿಯೇ ಬಂದು ನಿಂತಿದೆ.",,,,,Soft warm tonal riser into the title,https://pixabay.com/sound-effects/dreamy-cinematic-riser-523158/,-13,in 0.60s / out 0.40s,"[placed] Resolves into the wordmark reveal at K05 +0.6s, before the subtitle at +1.6s"
00:00:29:15,29.60,K05,1 · ಆರಂಭ · the child and the question,CARD GFX-01 · ಲಾ ಪಾರ್ಕ್ ಎಜುಕೇಷನಲ್ ಟ್ರಸ್ಟ್ // ಹತ್ತು ವರ್ಷ · 2016 ರಿಂದ 2026,"ಹತ್ತು ವರ್ಷಗಳಿಂದ, ಒಂದು ಟ್ರಸ್ಟ್ ಸರಿಯಾಗಿ ಅಲ್ಲಿಯೇ ಬಂದು ನಿಂತಿದೆ.",,,,,Soft warm low impact on the 2016 ರಿಂದ 2026 line,https://pixabay.com/sound-effects/cinematic-low-hit-291095/,-14,in 0.02s / out 0.70s,"[placed] Universfield Cinematic Low Hit, 2.38s. Replaced the trailer-class placeholder `11` rejected by name. `11` puts the low impact on this line and nowhere near K27. Impact 1 of 2"
00:00:33:00,32.98,K06,1 · ಆರಂಭ · the child and the question,"CARD GFX-02 · ""ಶಿಕ್ಷಣದ ವಿಷಯದಲ್ಲಿ ಯಾವ ಮಗುವೂ ಹಿಂದೆ ಉಳಿಯಬಾರದು."" // ಚಾರುಲತಾ ಎಂ. ಆರ್., ಸಂ","(no narration, 6.0s hold)","MUSIC OUT COMPLETELY. Room tone only, six seconds, under the founder's quote",0,silent,out complete by 32.98s,,,,,six seconds fully silent under the founder's quote
00:00:39:00,38.98,K07,2 · 2016 · one beginning,"CARD GFX-03 · ನೋಂದಾಯಿತ ಶೈಕ್ಷಣಿಕ ಟ್ರಸ್ಟ್ // ಎಚ್.ಎಸ್.ಆರ್. ಲೇಔಟ್, ಬೆಂಗಳೂರು","ಲಾ ಪಾರ್ಕ್ ಎಜುಕೇಷನಲ್ ಟ್ರಸ್ಟ್, ಬೆಂಗಳೂರಿನ ಎಚ್.ಎಸ್.ಆರ್. ಲೇಔಟ್‌ನಲ್ಲಿರುವ ನೋಂದಾಯಿತ ಶೈಕ್ಷಣಿಕ ಟ್ರಸ್ಟ್.","Bansuri returns, same motif, warmer register",2,-26,in 1.2s,,,,,
00:00:39:00,38.98,K07,2 · 2016 · one beginning,"CARD GFX-03 · ನೋಂದಾಯಿತ ಶೈಕ್ಷಣಿಕ ಟ್ರಸ್ಟ್ // ಎಚ್.ಎಸ್.ಆರ್. ಲೇಔಟ್, ಬೆಂಗಳೂರು","ಲಾ ಪಾರ್ಕ್ ಎಜುಕೇಷನಲ್ ಟ್ರಸ್ಟ್, ಬೆಂಗಳೂರಿನ ಎಚ್.ಎಸ್.ಆರ್. ಲೇಔಟ್‌ನಲ್ಲಿರುವ ನೋಂದಾಯಿತ ಶೈಕ್ಷಣಿಕ ಟ್ರಸ್ಟ್.",,,,,"The same morning, lower, under act 2",https://pixabay.com/sound-effects/nature-countryside-morning-sounds-246032/,-16,in 2.00s / out 2.50s,"[placed] 2016, the origin story. Deliberately the same recording as act 1 and 3 dB further down, so the beginning stays in the same place as the opening"
