shot,lane,kind,tc_in,tc_out,duration,gen_length,fit,upload,source,consent,narration,onscreen,vo_audio,prompt,reject_for
K01,B,PHOTO,00:00:00:00,00:00:07:00,7.00,,,"film.py, 3% push after a 3s hold",assets/images/timeline/2025-government-primary-school-sign.jpg,CLEAR - no identifiable person in the 16:9 window,,,,,"The whole shot is a Kannada government school signboard, held seven seconds in silence so the audience reads it. Five lines of Kannada and the name of the taluk. An image-to-video model re-renders every pixel it is handed, so the board comes back as Kannada-shaped noise. This is the film's first frame and its only unwritten caption."
K02,C,PHOTO,00:00:07:00,00:00:15:16,8.64,10,trim to 8.64s,,assets/images/timeline/2025-schoolwide-supplies-group-photo.jpg,[C] BLOCKING - approx 60 identifiable children and adults,"ಪ್ರತಿ ವರ್ಷ, ಕರ್ನಾಟಕದ ಹಳ್ಳಿಗಳಲ್ಲಿ, ಮಕ್ಕಳು ತಮ್ಮ ಬಳಿ ಇರುವುದೆಲ್ಲವನ್ನೂ ಒಂದೇ ಚೀಲದಲ್ಲಿ ಹೊತ್ತು ಶಾಲೆಗೆ ನಡೆಯುತ್ತಾರೆ.",,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K02.mp3,"Wide static documentary shot of a red-earth road running between fields in rural Karnataka at early morning, eucalyptus along one side, the compound wall of a school in the distance. The road is empty. Soft haze, low sun. The camera holds still, with the faintest drift in. No people anywhere in the frame.",
K03,C,PHOTO,00:00:15:16,00:00:19:21,4.20,5,trim to 4.20s,,assets/images/timeline/2025-child-with-school-kit-close-up.jpg,"[C] BLOCKING - two children in close-up, fully identifiable",ಅವರಿಗೆ ಬುದ್ಧಿ ಇದೆ. ಕಲಿಯುವ ಹಂಬಲ ಇದೆ.,,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K03.mp3,"Close static shot of a single school bag set down on a wooden bench beside a slate and a stub of chalk. Early morning light crosses the bench. The camera does not move. No people, no hands.",
K04,B,PHOTO,00:00:19:21,00:00:28:00,8.16,,,"film.py, static",assets/images/timeline/2025-colorful-school-building.jpg,CLEAR after crop - the one adult at bottom-left is cropped out,"ಆದರೆ ಆ ನಡಿಗೆಗೂ ತರಗತಿಗೂ ನಡುವೆ, ಶಾಲಾ ಶುಲ್ಕ ಒಂದು ತೀರ್ಮಾನ ತೆಗೆದುಕೊಂಡು ಬಿಡುತ್ತದೆ.",,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K04.mp3,,"A painted school building with ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ, ಮಂಟಿಹಾಡಿ legible on the board. Same failure as K01, and the shot is static anyway, so there is nothing for Runway to add."
K05,B-card,CARD,00:00:28:00,00:00:33:00,4.98,,,tools/gfx/K05*.png,Title card,n/a - graphics only,"ಹತ್ತು ವರ್ಷಗಳಿಂದ, ಒಂದು ಟ್ರಸ್ಟ್ ಸರಿಯಾಗಿ ಅಲ್ಲಿಯೇ ಬಂದು ನಿಂತಿದೆ.",ಲಾ ಪಾರ್ಕ್ ಎಜುಕೇಷನಲ್ ಟ್ರಸ್ಟ್  //  ಹತ್ತು ವರ್ಷ · 2016 ರಿಂದ 2026,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K05.mp3,,Rendered by tools/gfx.py through headless Chrome. Never through a generative model.
K06,B-card,CARD,00:00:33:00,00:00:39:00,6.00,,,tools/gfx/K06*.png,Founder quote card,n/a - graphics only,,"""ಶಿಕ್ಷಣದ ವಿಷಯದಲ್ಲಿ ಯಾವ ಮಗುವೂ ಹಿಂದೆ ಉಳಿಯಬಾರದು.""  //  ಚಾರುಲತಾ ಎಂ. ಆರ್., ಸಂಸ್ಥಾಪಕರು",,,Rendered by tools/gfx.py through headless Chrome. Never through a generative model.
K07,B-card,CARD,00:00:39:00,00:00:45:24,6.96,,,tools/gfx/K07*.png,Organisation card,n/a - graphics only,"ಲಾ ಪಾರ್ಕ್ ಎಜುಕೇಷನಲ್ ಟ್ರಸ್ಟ್, ಬೆಂಗಳೂರಿನ ಎಚ್.ಎಸ್.ಆರ್. ಲೇಔಟ್‌ನಲ್ಲಿರುವ ನೋಂದಾಯಿತ ಶೈಕ್ಷಣಿಕ ಟ್ರಸ್ಟ್.","ನೋಂದಾಯಿತ ಶೈಕ್ಷಣಿಕ ಟ್ರಸ್ಟ್  //  ಎಚ್.ಎಸ್.ಆರ್. ಲೇಔಟ್, ಬೆಂಗಳೂರು",tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K07.mp3,,Rendered by tools/gfx.py through headless Chrome. Never through a generative model.
K08,B,PHOTOCARD,00:00:45:24,00:00:56:03,10.16,,,"film.py, 2% push",assets/images/magazine-gallery/Charulatha-MR.jpeg,TRUSTEE LIKENESS - founder approval,ಇದನ್ನು ಸ್ಥಾಪಿಸಿದವರು ಚಾರುಲತಾ ಎಂ. ಆರ್. ಟ್ರಸ್ಟ್ ಶುರುವಾಗುವ ಮೊದಲೇ ಅವರು ತಮ್ಮ ಬಡಾವಣೆಯ ಮಕ್ಕಳ ಶಾಲಾ ಶುಲ್ಕವನ್ನು ತಾವೇ ಕಟ್ಟುತ್ತಿದ್ದರು.,ಚಾರುಲತಾ ಎಂ. ಆರ್.  //  ಸಂಸ್ಥಾಪಕರು ಮತ್ತು ವ್ಯವಸ್ಥಾಪಕ ಟ್ರಸ್ಟಿ,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K08.mp3,,"The founder's portrait. Do not put a real, named, identified person's face through a generative model in a documentary: what comes back is a different face wearing her name. Also gated on her own likeness approval (`07` section 3)."
K09,B,PHOTOCARD,00:00:56:03,00:01:04:19,8.64,,,"film.py, static",assets/images/magazine-gallery/trustee-mr-sm-manjunatha.webp,TRUSTEE LIKENESS - trustee approval,ಅವರ ಜೊತೆಗೂಡಿದವರು ಸಾದೇನಹಳ್ಳಿಯ ಎಸ್. ಎಂ. ಮಂಜುನಾಥ. ಓದಲೆಂದು ಊರು ಬಿಟ್ಟು ನಗರಕ್ಕೆ ಬಂದ ತಮ್ಮ ಕುಟುಂಬದ ಮೊದಲ ವ್ಯಕ್ತಿ.,ಎಸ್. ಎಂ. ಮಂಜುನಾಥ  //  ಟ್ರಸ್ಟಿ,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K09.mp3,,The trustee's portrait. Same rule as K08.
K10,B,PHOTO,00:01:04:19,00:01:10:08,5.60,,,"film.py, static",assets/images/timeline/2025-saraswati-primary-school-sign.jpg,CLEAR - no person in frame,ತಮ್ಮ ಊರಿನ ಹಲವು ಮಕ್ಕಳನ್ನು ಅವರು ಆಗಲೇ ಓದಿಸಿದ್ದರು.,,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K10.mp3,,A weathered village school board. It exists in the cut to carry 'the children of his own village' without putting a person on screen; the lettering is the entire content.
