cue_key,status,asset_title,uploader,pixabay_page_url,download_date,licence_status_on_download_date,licence_evidence_file,edit_file_name,shot,timecode_in,offset_s,excerpt_in_s,duration_s,level_db_rel_narration,gain_db_applied,fade_in_s,fade_out_s,approved_by,notes
k01-bell,PLACED,school bell,universfield,https://pixabay.com/sound-effects/school-bell-199584/,2026-09-09,NOT CAPTURED,NOT CAPTURED,universfield-school-bell-199584.mp3,K01,00:00:01:05,1.20,0.30,2.20,-16,-15.30,0.05,1.20,,"ACT 1. Distant bell over the opening board, under no narration. The only bell in the film | URL reconstructed from the filename, not verified against Pixabay | licence must cover public event screening, YouTube monetised or not, social media and website embedding, worldwide, in perpetuity. `14` items 5.1 and 5.2"
k05-riser,PLACED,dreamy cinematic riser,black_kumizhi,https://pixabay.com/sound-effects/dreamy-cinematic-riser-523158/,2026-09-09,NOT CAPTURED,NOT CAPTURED,black_kumizhi-dreamy-cinematic-riser-523158.mp3,K05,00:00:25:24,0.10,7.10,2.20,-16,-21.10,0.60,0.40,,"Warm tonal riser resolving into the wordmark reveal at K05 +0.6s | URL reconstructed from the filename, not verified against Pixabay | licence must cover public event screening, YouTube monetised or not, social media and website embedding, worldwide, in perpetuity. `14` items 5.1 and 5.2"
k05-impact,PLACED,Cinematic Low Hit,Universfield,https://pixabay.com/sound-effects/cinematic-low-hit-291095/,2026-09-09,Free for use under the Pixabay Content License,tools/sfx/licence-evidence/impact-licence-evidence.jpg,universfield-cinematic-low-hit-291095.mp3,K05,00:00:29:15,1.60,0,1.60,-20,-14.00,0.02,0.70,,Impact 1 of 2. REPLACES the trailer-class placeholder submority-boom-geomorphism-123876. Licence panel verified against the screenshot on the download date
k07-whoosh,PLACED,gentle amp echoing whoosh sound effect,lesiakower,https://pixabay.com/sound-effects/gentle-amp-echoing-whoosh-sound-effect-451056/,2026-09-09,NOT CAPTURED,NOT CAPTURED,lesiakower-gentle-amp-echoing-whoosh-sound-effect-451056.mp3,K07,00:00:36:14,0.15,0,2.60,-18,-6.49,0,0.80,,"ACT 2. Gold rule on the organisation card. Whoosh 1 of 3 | URL reconstructed from the filename, not verified against Pixabay | licence must cover public event screening, YouTube monetised or not, social media and website embedding, worldwide, in perpetuity. `14` items 5.1 and 5.2"
k11-page,PLACED,turn a page,creatorshome,https://pixabay.com/sound-effects/turn-a-page-336933/,2026-09-09,NOT CAPTURED,NOT CAPTURED,creatorshome-turn-a-page-336933.mp3,K11,00:01:05:11,0.15,0,whole file,-14,-9.17,0,0,,"2016 first school visit. One dry page turn, the archive beat | URL reconstructed from the filename, not verified against Pixabay | licence must cover public event screening, YouTube monetised or not, social media and website embedding, worldwide, in perpetuity. `14` items 5.1 and 5.2"
k15-whoosh,PLACED,gentle amp echoing whoosh sound effect,lesiakower,https://pixabay.com/sound-effects/gentle-amp-echoing-whoosh-sound-effect-451056/,2026-09-09,NOT CAPTURED,NOT CAPTURED,lesiakower-gentle-amp-echoing-whoosh-sound-effect-451056.mp3,K15,00:01:33:09,7.80,0,2.00,-18,-0.35,0.20,0.80,,"ACT 3 transition, into the 2s pause across the thin years. Whoosh 2 of 3 | URL reconstructed from the filename, not verified against Pixabay | licence must cover public event screening, YouTube monetised or not, social media and website embedding, worldwide, in perpetuity. `14` items 5.1 and 5.2"
k18-book,PLACED,turn a page,creatorshome,https://pixabay.com/sound-effects/turn-a-page-336933/,2026-09-09,NOT CAPTURED,NOT CAPTURED,creatorshome-turn-a-page-336933.mp3,K18,00:01:53:05,0.40,0,whole file,-18,-13.17,0,0,,"Library shelves. Page used as the book proxy until a book file is auditioned | URL reconstructed from the filename, not verified against Pixabay | licence must cover public event screening, YouTube monetised or not, social media and website embedding, worldwide, in perpetuity. `14` items 5.1 and 5.2"
k22-zip,PLACED,backpack,freesound_community,https://pixabay.com/sound-effects/backpack-34942/,2026-09-09,NOT CAPTURED,NOT CAPTURED,freesound_community-backpack-34942.mp3,K22,00:02:19:13,0.40,3.20,2.00,-16,-10.25,0.10,0.60,,"Two hundred school bags at MM Hills | URL reconstructed from the filename, not verified against Pixabay | licence must cover public event screening, YouTube monetised or not, social media and website embedding, worldwide, in perpetuity. `14` items 5.1 and 5.2"
k23-impact,PLACED,Cinematic Low Hit,Universfield,https://pixabay.com/sound-effects/cinematic-low-hit-291095/,2026-09-09,Free for use under the Pixabay Content License,tools/sfx/licence-evidence/impact-licence-evidence.jpg,universfield-cinematic-low-hit-291095.mp3,K23,00:02:43:07,3.80,0,1.40,-18,-12.00,0.02,0.60,,Impact 2 of 2. REPLACES the trailer-class placeholder. The 2.5s hold after it stays clean
k35-whoosh,PLACED,gentle amp echoing whoosh sound effect,lesiakower,https://pixabay.com/sound-effects/gentle-amp-echoing-whoosh-sound-effect-451056/,2026-09-09,NOT CAPTURED,NOT CAPTURED,lesiakower-gentle-amp-echoing-whoosh-sound-effect-451056.mp3,K35,00:03:56:07,0.15,0,2.60,-20,-8.49,0,0.80,,"ACT 4. Partners card reveal. Whoosh 3 of 3, lower than K07 | URL reconstructed from the filename, not verified against Pixabay | licence must cover public event screening, YouTube monetised or not, social media and website embedding, worldwide, in perpetuity. `14` items 5.1 and 5.2"
