year,milestone,impact_number,impact_unit,location,source_path,status,conflict_group,notes
2016,First scholarship and first school visit,1,scholarship,Chickaballapur,data/milestones.ts,VERIFIED,,The single origin beat. Photo-backed.
2016,Steel plates and steel glasses distributed,150,students,Chickaballapur,data/milestones.ts,VERIFIED,,Hero image of the site shows this distribution.
2017,Scholarships given,10,students,Chickaballapur,data/milestones.ts; public/magazine/template-06.html,VERIFIED,,Magazine phrases it 'One became ten.'
2018,Continued support,,,Chickaballapur,data/milestones.ts,VERIFIED,,No number in the data. Do not invent one.
2018,Renewals plus personal home visits and parent interviews,,,Chickaballapur,public/magazine/template-06.html,NEEDS CONFIRMATION,,"Magazine-only elaboration, not present in milestones.ts."
2019,Scholarships to more children,,,KGF,data/milestones.ts,NEEDS CONFIRMATION,LOC-2019,Code says KGF.
2019,"Scholarship coverage expanded, focus on single-parent and daily-wage families",,,Chickaballapur,public/magazine/template-06.html,NEEDS CONFIRMATION,LOC-2019,Magazine says Chickaballapur and adds a beneficiary focus not in the data.
2020,Support continued through the pandemic,,,"Chickaballapur, KGF",data/milestones.ts,VERIFIED,LOC-2020,Location conflicts with the magazine.
2020,"Pandemic Relief to Students scholarship, published eligibility criteria",,,India,assets/images/timeline/2020-pandemic-relief-announcement-poster.jpg,VERIFIED,,"LPET-authored poster. Criteria: children who lost a parent, and/or parents who lost jobs. Strongest 2020 evidence."
2020,Fees honoured for every enrolled child so no child restarted from zero,,,Chickaballapur,public/magazine/template-06.html,NEEDS CONFIRMATION,LOC-2020,Magazine-only elaboration.
2021,Children given scholarship,,,KGF,data/milestones.ts,NEEDS CONFIRMATION,LOC-2021,CLIENT_FEEDBACK_STATUS.md records that a specific number was deliberately removed from this milestone at client request. Do not restore a number.
2021,Scholarship list renewed and expanded as schools reopened,,,Chickaballapur,public/magazine/template-06.html,NEEDS CONFIRMATION,LOC-2021,Magazine says Chickaballapur.
2022,Libraries set up in rural schools with donated books,,,"Mandya, Kolar",data/milestones.ts,VERIFIED,,"Story books, academic books for engineering and NEET, unused notebooks."
2022,"Named library sites: DMS Jnana Kuteera School, Baby Village; Grameena Mahila Okkuta, Gram Vikas NGO",2,library sites,Mandya; Kolar,assets/images/timeline/2022-library-donation-poster.jpg,VERIFIED,,Poster spelling 'Grameena Mahaila Okutta' needs correction.
2022,Rural-sector scholarship event held at the Law Park office premises,,,Bengaluru,data/milestones.ts,VERIFIED,,"Useful, shows the office as a venue."
2023,Expanded to Mysore and H.D. Kote,,,"Mysore, H.D. Kote",data/milestones.ts,VERIFIED,,First appearance of H.D. Kote.
2023,Career counselling for 10th and 9th standard students,,,"Mysore, H.D. Kote",data/milestones.ts,VERIFIED,,Photo: 2024-classroom-career-counselling-session.jpg.
2024,Interviews and career counselling at DMS Jnana Kuteera School,,,Pandavapura,data/milestones.ts,VERIFIED,,School is in Baby Village per the 2022 poster; milestone location lists Pandavapura.
2024,Scholarship interviews conducted,,,Mulbagal,data/milestones.ts,VERIFIED,,Corroborated by the Udayavani clipping.
2024,"School bags, notebooks and stationery distributed at MM Hills tribal schools, opening academic year 2024-25",200,school bags,MM Hills,data/milestones.ts; public/magazine/template-06.html,VERIFIED,,Magazine 'Did you know?' repeats 200.
