cue_key,kind,status,asset_title,uploader,pixabay_page_url,download_date,licence_status_on_download_date,licence_evidence_file,edit_file_name,shot,timecode_in,offset_s,excerpt_in_s,duration_s,level_db_rel_narration,gain_db_applied,solo_dbfs,window_s,fade_in_s,fade_out_s,approved_by,notes
bed-film-roomtone,bed,PLACED,Bedroom Room Tone,kai_audio,https://pixabay.com/sound-effects/household-bedroom-room-tone-446021/,2026-09-09,Free for use under the Pixabay Content Licence,sfx/licence-evidence/K46_warm-room-tone_licence.jpg,kai_audio-bedroom-room-tone-446021.mp3,K01,00:00:00:00,0.00,9.20,357.88,-20,0,,60.00,2.00,3.00,,"THE FLOOR. Neutral room tone across the whole film so no shot sits in a vacuum. Speech-band energy measures 0.00, so it carries no voice at all. Carved automatically at the four silence cues | licence must cover public event screening, YouTube monetised or not, social media and website embedding, worldwide, in perpetuity. `14` items 5.1 and 5.2"
bed-act1-morning,bed,PLACED,Countryside morning sounds,dbsound,https://pixabay.com/sound-effects/nature-countryside-morning-sounds-246032/,2026-09-09,Free for use under the Pixabay Content Licence,sfx/licence-evidence/K10_countryside-morning-birds_licence.jpg,dbsound-countryside-morning-sounds-246032.mp3,K01,00:00:00:00,0.00,2.00,38.98,-15,0,,26.00,2.50,2.00,,"ACT 1. Village morning under the child and the question. Excerpt avoids the 0.0s window sfx_voicecheck.py scored highest | licence must cover public event screening, YouTube monetised or not, social media and website embedding, worldwide, in perpetuity. `14` items 5.1 and 5.2"
bed-act2-village,bed,PLACED,Countryside morning sounds,dbsound,https://pixabay.com/sound-effects/nature-countryside-morning-sounds-246032/,2026-09-09,Free for use under the Pixabay Content Licence,sfx/licence-evidence/K10_countryside-morning-birds_licence.jpg,dbsound-countryside-morning-sounds-246032.mp3,K07,00:00:39:00,0.00,7.70,47.00,-16,0,,20.00,2.00,2.50,,"ACT 2, 2016. Same morning, lower, so the origin story stays in the same place as the opening | licence must cover public event screening, YouTube monetised or not, social media and website embedding, worldwide, in perpetuity. `14` items 5.1 and 5.2"
bed-act3-field,bed,PLACED,Open_field_winds_summer_ambience,nickmaymusic (Freesound) / freesound_community,https://pixabay.com/sound-effects/nature-open-field-winds-summer-ambience-64761/,2026-09-09,Free for use under the Pixabay Content Licence,sfx/licence-evidence/K10_light-wind-field_licence.jpg,freesound_community-open_field_winds_summer_ambience-64761.mp3,K14,00:01:26:00,0.00,0.40,90.30,-15,0,,26.00,2.50,2.50,,"ACT 3, ten years of showing up. Open field wind. 3-8Hz modulation peaks at 0.151, no syllable rate, this is wind | licence must cover public event screening, YouTube monetised or not, social media and website embedding, worldwide, in perpetuity. `14` items 5.1 and 5.2"
bed-act4-insects,bed,PLACED,insects birds field,dbsound,https://pixabay.com/sound-effects/insects-birds-field-596099/,2026-09-09,NOT CAPTURED,NOT CAPTURED,dbsound-insects-birds-field-596099.mp3,K26,00:02:56:07,0.00,100.00,116.00,-17,0,,80.00,3.00,3.00,,"ACT 4, method and care. Excerpt taken from 100s, clear of the 89-97s cluster where the speech band rises. Modulation there is 0.05-0.10, tonal insects rather than syllables, but the excerpt avoids it anyway | licence must cover public event screening, YouTube monetised or not, social media and website embedding, worldwide, in perpetuity. `14` items 5.1 and 5.2"
bed-act4-village,bed,PLACED,Indian Village ambience,ranjit_foley,https://pixabay.com/sound-effects/nature-indian-village-ambience-219221/,2026-09-09,Free for use under the Pixabay Content Licence,sfx/licence-evidence/K26_distant-village-ambience_licence.jpg,ranjit_foley-indian-village-ambience-219221.mp3,K30,00:03:26:12,0.00,268.00,60.00,-21,0,,12.50,2.50,2.50,,"ACT 4 depth, under the field work. CUT ONLY FROM 268.0s. sfx_voicecheck.py found clear speech at 65.5s, 202.0s and six other points in this file; 268.0s begins the one 12.5s run in the calmest quartile. 14 item 2.4. A human must still confirm this excerpt by ear | licence must cover public event screening, YouTube monetised or not, social media and website embedding, worldwide, in perpetuity. `14` items 5.1 and 5.2"
bed-act5-pad,bed,PLACED,Warm Pad Fragment – Short,GigiDeLaRoMusic,https://pixabay.com/sound-effects/musical-warm-pad-fragment-short-450964/,2026-09-09,Free for use under the Pixabay Content Licence,sfx/licence-evidence/K42_soft-warm-string-swell_licence.jpg,gigidelaromusic-warm-pad-fragment-short-450964.mp3,K41,00:05:09:07,0.00,1.50,48.60,-15,0,,34.00,3.00,4.50,,"ACT 5. Warm pad carrying the future section and the end card. This is the K42 swell the shopping list asked for, spread across the act instead of spent on one shot. Pixabay marks it AI generated | licence must cover public event screening, YouTube monetised or not, social media and website embedding, worldwide, in perpetuity. `14` items 5.1 and 5.2"
bed-act5-spring,bed,PLACED,"spring is coming, 25 sec",tape-echo,https://pixabay.com/sound-effects/spring-is-coming-25sec-596343/,2026-09-09,NOT CAPTURED,NOT CAPTURED,tape-echo-spring-spring-is-coming_25sec-596343.mp3,K38,00:04:42:06,0.00,1.00,27.04,-20,0,,22.00,3.00,3.00,,"Tonal lift under the gratitude and coverage stretch, resolving into Act 5. Sits below the pad it hands over to | licence must cover public event screening, YouTube monetised or not, social media and website embedding, worldwide, in perpetuity. `14` items 5.1 and 5.2"
k01-bell,accent,PLACED,school bell,universfield,https://pixabay.com/sound-effects/school-bell-199584/,2026-09-09,NOT CAPTURED,NOT CAPTURED,universfield-school-bell-199584.mp3,K01,00:00:01:05,1.20,0.30,2.20,-16,0,-20,,0.05,1.20,,"ACT 1. Distant bell over the opening board, under no narration. The only bell in the film | licence must cover public event screening, YouTube monetised or not, social media and website embedding, worldwide, in perpetuity. `14` items 5.1 and 5.2"
k04-piano,accent,PLACED,1 note piano,V_InLuna (Freesound) / freesound_community,https://pixabay.com/sound-effects/musical-1-note-piano-104171/,2026-09-09,Free for use under the Pixabay Content Licence,sfx/licence-evidence/K04_single-soft-piano-note_licence.jpg,freesound_community-1-note-piano-104171.mp3,K04,00:00:25:19,5.90,0,1.90,-16,0,-24,,0.02,0.90,,"The school-fee line, under the dignity rule. One note into the 2s pause. 11 wanted this to belong to the score; there is no score, so it goes here | licence must cover public event screening, YouTube monetised or not, social media and website embedding, worldwide, in perpetuity. `14` items 5.1 and 5.2"
