claim_id,category,exact_claim,language_neutral_fact,status,source_path,source_section,source_route,notes,approval_needed
ORG-01,identity,Law Park Educational Trust,Organisation name,VERIFIED,components/layout/Footer.tsx; data/websiteContent.ts; public/magazine/template-06.html,Footer heading; magazine masthead,/,Consistent everywhere. Note some testimonials write 'Law Park Education Trust' without the 'al'.,no
ORG-02,identity,ಲಾ ಪಾರ್ಕ್ ಎಜುಕೇಷನಲ್ ಟ್ರಸ್ಟ್,Kannada rendering of the organisation name as printed in press,VERIFIED,assets/images/timeline/2024-newspaper-coverage-clipping.jpg,"Udayavani photo caption, 19 June 2024",n/a,Authoritative third-party Kannada spelling. Use this exact form in all Kannada onscreen text and narration.,yes - spelling sign-off
ORG-03,identity,LPET,Short form,VERIFIED,public/site.webmanifest,short_name,n/a,Internal use only. Do not use on screen.,no
ORG-04,identity,"HSR Layout, Bengaluru · Registered Trust",Base of operations,VERIFIED,public/magazine/template-06.html; components/layout/Footer.tsx,Cover strip; Contact block,/,,no
ORG-05,identity,"No 19/A-1, 14th 'B' Cross, 2nd A Main Rd, 6th Sector, HSR Layout, Bengaluru, Karnataka 560102",Registered address,VERIFIED,components/layout/Footer.tsx; app/layout.tsx; assets/images/timeline/2022-library-donation-poster.jpg,Footer Contact; organizationSchema.address; poster,/,Three independent sources agree.,no
ORG-06,identity,+91-9945-665-379,Phone,VERIFIED,components/layout/Footer.tsx; app/layout.tsx; invite.md,Footer; JSON-LD; letters,/,A second number +91 9663944114 appears on the 2022 library poster.,no
ORG-07,identity,lawparktrust@gmail.com,Email,VERIFIED,components/layout/Footer.tsx; app/layout.tsx,Footer; JSON-LD,/,,no
ORG-08,identity,lawparkeducationaltrust.org,Main website,VERIFIED,README.md; public/magazine/template-06.html,Intro; page footers,n/a,,no
ORG-09,identity,journey.lawparkeducationaltrust.org,Anniversary microsite,VERIFIED,public/CNAME; app/layout.tsx,metadataBase,n/a,,no
ORG-10,identity,https://razorpay.me/@lawparkeducationaltrust,Donation page,VERIFIED,data/constants.ts,DONATION_URL,/,Safe to show as an end-card CTA.,no
ORG-11,identity,UPI ID: mhaks.16@oksbi,UPI identifier,VERIFIED,components/sections/CTASection.tsx,Scan to support,/,"Do NOT show the QR image or the UPI string on screen. Financial identifier, high abuse risk in a widely shared video.",yes - decide policy
ORG-12,identity,foundingDate 2016 / 'we started this Trust in 2012 (registered 2016)',Founding year,NEEDS CONFIRMATION,app/layout.tsx; components/pages/DonorInviteContentPage.tsx,organizationSchema.foundingDate; WhatsApp donor letter,/ ; /content/donor-invite,CONFLICT. Determines whether the milestone is 10 years of the registered Trust or 14 years of the work. The whole anniversary premise rests on this.,yes - CRITICAL
ORG-13,identity,10-Year Anniversary · 2016 - 2026,Anniversary span,VERIFIED,components/sections/Hero.tsx; public/magazine/template-06.html,Hero overline; magazine cover,/,Magazine back cover says '2016-2025' while its front cover says '2016 - 2026'. Internal inconsistency in the same document.,yes
ORG-14,identity,Registered Educational Trust · Eligible for tax benefits under Section 80G of the Income Tax Act,80G status,NEEDS CONFIRMATION,public/magazine/template-06.html,Back cover,n/a,Single source. A tax claim in a public film must be certificate-backed and current.,yes - CRITICAL
MIS-01,mission,Helping children from rural areas across India get their right to education through funded scholarships.,Mission statement,VERIFIED,components/layout/Footer.tsx; app/layout.tsx; public/site.webmanifest,Footer intro; meta description,/,,no
MIS-02,mission,"When it comes to education, no child deserves to be left behind.",Founder's signature line,VERIFIED,components/sections/ImpactOverview.tsx; components/sections/CTASection.tsx; public/magazine/template-06.html,"Pull quote, attributed to Charulatha M. R., Founder",/,Used three times on the site and twice in the magazine. The strongest single line available for the film.,no
MIS-03,mission,We take the children under our folds and pay up to 75% of their tuition fees ... We believe that anything given for fully free will have no value.,Partial-funding philosophy,VERIFIED,data/websiteContent.ts,process.steps[2] Embrace,/,Distinctive and quotable. Reads better paraphrased than verbatim.,no
MIS-04,mission,Our team will pay the school fees directly to the school rather than giving them to the parents to prevent misappropriation of the funds.,Direct-to-school payment,VERIFIED,data/websiteContent.ts,process.steps[3] Incubate,/,,no
