key,kind,file,shot,at_tc,at_s,offset_s,level_rel_narr_db,solo_dbfs,in_s,dur_s,fade_in,fade_out,note
bed-floor,bed,kai_audio-bedroom-room-tone-446021.mp3,S01,00:00:00:00,0.00,0.00,-20,,0.00,300.00,2.00,3.00,"The floor under the whole film so no shot sits in a vacuum. Speech-band energy measures 0.00, so it carries no voice. Carved at the two silence cues with a 0.40s fade either side."
bed-act1-morning,bed,dbsound-countryside-morning-sounds-246032.mp3,S01,00:00:00:00,0.00,0.00,-15,,0.00,39.00,2.50,2.00,"ACT 1. A Karnataka village morning, before the narration names the Trust."
s01-bell,accent,universfield-school-bell-199584.mp3,S01,00:00:01:10,1.40,1.40,-16,-20,0.30,2.20,0.05,1.20,"A distant bell over the school building, under no narration. The only bell in the film."
s03-piano,accent,freesound_community-1-note-piano-104171.mp3,S03,00:00:23:15,23.60,4.60,-16,-24,0.00,1.90,0.02,0.90,"One note on the word 'decides', resolving into the 2.5s of dry air that closes the shot."
silence-s03,silence,,S03,00:00:25:15,25.60,6.60,,,0.00,1.40,0.00,0.00,"After the piano note, at the end of 'a school fee decides'. The film's premise lands dry: bed carved, no effect, no voice."
s04-riser,accent,black_kumizhi-dreamy-cinematic-riser-523158.mp3,S04,00:00:27:00,27.00,0.00,-13,,7.10,2.20,0.60,0.40,Warm tonal riser resolving into the founder quote at S04 +0.6s.
s04-impact,accent,universfield-cinematic-low-hit-291095.mp3,S04,00:00:28:15,28.60,1.60,-14,,0.00,1.60,0.02,0.70,"Soft low impact as the quote settles. It lands, it does not boom. Impact 1 of 2 in the film."
bed-act2-village,bed,dbsound-countryside-morning-sounds-246032.mp3,S05,00:00:36:00,36.00,0.00,-16,,0.00,52.00,2.00,2.50,"ACT 2. The same recording 1 dB further down, so 2016 stays in the same place as the opening."
s07-page,accent,creatorshome-turn-a-page-336933.mp3,S07,00:00:57:05,57.20,0.20,-13,,0.00,0.00,0.00,0.00,"The 2016 first school visit. One dry page turn, the archive beat. The loudest accent in the film relative to the voice, because it carries a story beat on its own."
silence-s07,silence,,S07,00:01:06:02,66.10,9.10,,,0.00,1.90,0.00,0.00,"'One child. One scholarship.' has finished. The line is left to stand on its own, as it does in the approved Kannada cut."
s09-whoosh,accent,lesiakower-gentle-amp-echoing-whoosh-sound-effect-451056.mp3,S09,00:01:25:03,85.10,8.10,-18,-23,0.00,2.00,0.20,0.80,"Act 2 into act 3, under no narration. Whoosh 1 of 3."
bed-act3-field,bed,freesound_community-open_field_winds_summer_ambience-64761.mp3,S10,00:01:27:00,87.00,0.00,-15,,0.00,67.00,2.50,2.50,"ACT 3. Open field wind. sfx_voicecheck.py puts its 3 to 8 Hz modulation at 0.151 peak with no syllable rate anywhere: this is wind, not people."
s12-rustle,accent,spinopel-paper-rustle-345748.mp3,S12,00:01:44:08,104.30,0.30,-14,,4.20,2.60,0.30,1.00,"The single-page pandemic announcement. 2.6s of rustle rather than a turn, so it does not read as a second page turn."
s13-book,accent,creatorshome-turn-a-page-336933.mp3,S13,00:01:55:10,115.40,0.40,-15,,0.00,0.00,0.00,0.00,Library shelves. The page turn stands in as the book proxy until a real book file is auditioned.
s16-riser,accent,audiopapkin-riser-hit-sfx-001-289802.mp3,S16,00:02:30:22,150.90,5.90,-15,,0.00,2.80,0.50,0.60,Act 3 into act 4. Kept under the whoosh family in level so it reads as a swell and not as a trailer cue.
bed-act4-insects,bed,dbsound-insects-birds-field-596099.mp3,S17,00:02:34:00,154.00,0.00,-17,,0.00,52.00,3.00,3.00,"ACT 4. Excerpt taken from 100s, clear of the 89 to 97s cluster where the speech band rises."
s17-thud,accent,soundreality-hit-windy-thud-399086.mp3,S17,00:02:34:05,154.20,0.20,-17,,0.60,2.40,0.10,1.20,The act 4 turn gets one soft windy landing and nothing else.
silence-s18,silence,,S18,00:02:52:10,172.40,6.40,,,0.00,1.50,0.00,0.00,Score out under 'Not all of it'. The voice keeps running; the bed and every effect drop away beneath it. The dignity rule: the 25 per cent the family pays is the point of the sentence.
s19-rustle,accent,spinopel-paper-rustle-345748.mp3,S19,00:02:56:12,176.50,0.50,-16,,1.00,1.80,0.20,0.80,Packets and paper being counted out. Lower than S12 so the announcement keeps its weight.
s20-zip,accent,freesound_community-backpack-34942.mp3,S20,00:03:06:12,186.50,0.50,-13,,3.20,2.00,0.10,0.60,"Two hundred school bags at M.M. Hills, under a supplies close-up only."
bed-act4-village,bed,ranjit_foley-indian-village-ambience-219221.mp3,S21,00:03:18:00,198.00,0.00,-21,,0.00,8.00,2.00,2.00,"ACT 4 depth. CUT ONLY FROM 268.0s in the source, the one window sfx_voicecheck.py cleared of speech. A human must still confirm by ear."
bed-act5-spring,bed,tape-echo-spring-spring-is-coming_25sec-596343.mp3,S22,00:03:25:00,205.00,0.00,-20,,0.00,28.00,3.00,3.00,"ACT 5. Tonal lift through the 300 bags and the classroom, handing over to the pad."
s22-impact,accent,universfield-cinematic-low-hit-291095.mp3,S22,00:03:31:07,211.30,6.30,-13,,0.00,1.40,0.02,0.60,"Soft low land under 'three hundred', then the 3.5s hold after it stays clean. Impact 2 of 2, and the film's last impact."
s24-zip,accent,mrstokes302-backpack-zipper-sfx-mrstokes302-585349.mp3,S24,00:03:43:10,223.40,0.40,-14,,0.40,1.80,0.10,0.70,The classroom of children with bags. A different zip recording from S20 so the pair does not read as one sound used twice.
s26-whoosh,accent,lesiakower-gentle-amp-echoing-whoosh-sound-effect-451056.mp3,S26,00:04:02:05,242.20,0.20,-15,,0.00,2.60,0.00,0.80,"On the partners heading as it draws on, not on the cut. Whoosh 2 of 3."
bed-act6-pad,bed,gigidelaromusic-warm-pad-fragment-short-450964.mp3,S27,00:04:13:00,253.00,0.00,-15,,0.00,45.00,3.00,4.50,ACT 6. Warm pad under gratitude and the end card. Pixabay marks this file AI generated.
s27-whoosh,accent,lesiakower-gentle-amp-echoing-whoosh-sound-effect-451056.mp3,S27,00:04:13:04,253.15,0.15,-18,,0.00,2.60,0.00,0.80,"Act 6 opens. Whoosh 3 of 3, the lowest of the three."
s29-lift,accent,edr-electronic-impact-soft-10019.mp3,S29,00:04:34:05,274.20,0.20,-18,,0.30,1.60,0.02,0.80,"One gentle lift as the recognition heading appears, then settle. NO FANFARE: the soft impact was chosen over the low hit so the film keeps exactly two impacts."
silence-s29,silence,,S29,00:04:36:00,276.00,2.00,,,0.00,11.00,0.00,0.00,"NO FANFARE under the award. One soft lift on the heading in the first 1.8s, then nothing builds for the rest of the shot. The voice keeps running. See 11 section 1."
s30-applause,accent,vvqne-applause-383901.mp3,S30,00:04:55:15,295.60,8.60,-20,-26,2.40,4.40,1.20,2.60,"End card only, low, never under speech. This is the one home applause has in this film."
s30-resolve,accent,freesound_community-1-note-piano-104171.mp3,S30,00:04:58:05,298.20,11.20,-18,-26,0.00,1.80,0.02,1.40,"One piano note to resolve the film, answering the note on 'decides' at S03. Stands in until a warm non-electronic chime is auditioned."
